gender,city,work_type,company_size,position,level,experience,tech_stack,currency,raise_period,salary
Erkek,İstanbul,Remote,6 - 10 Kişi,CTO,Senior,15 Yıl ve üzeri,.Net,₺ - Türk Lirası,2,150.000 - 154.999
Erkek,İstanbul,Remote,250+,Back-end Developer,Middle,3 - 5 Yıl,.Net,₺ - Türk Lirası,2,46.000 - 46.999
Erkek,Ankara,Ofis,250+,Embedded Software Developer,Junior,1 - 3 Yıl,Python;C / C++,₺ - Türk Lirası,2,39.000 - 39.999
Erkek,Ankara,Ofis,250+,Mobile Application Developer (iOS),Senior,12 - 14 Yıl,Swift;Objective C,₺ - Türk Lirası,2,125.000 - 129.999
Erkek,İstanbul,Remote,250+,Mobile Application Developer (Android),Middle,3 - 5 Yıl,Java;Kotlin,₺ - Türk Lirası,2,75.000 - 79.999
Erkek,Bursa,Remote,21 - 50 Kişi,Back-end Developer,Middle,1 - 3 Yıl,Java,₺ - Türk Lirası,4,50.000 - 50.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Back-end Developer,Senior,3 - 5 Yıl,Java;.Net,₺ - Türk Lirası,1,80.000 - 84.999
Erkek,Kocaeli,Remote,250+,Full Stack Developer,Junior,1 - 3 Yıl,.Net;Go;React,₺ - Türk Lirası,2,38.000 - 38.999
Erkek,Kocaeli,Remote,250+,Full Stack Developer,Senior,12 - 14 Yıl,Java;JavaScript | Html | Css;Cobol,₺ - Türk Lirası,2,115.000 - 119.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Back-end Developer,Senior,10 - 12 Yıl,.Net,₺ - Türk Lirası,2,95.000 - 99.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Team / Tech Lead,Senior,15 Yıl ve üzeri,Go;React;Angular,₺ - Türk Lirası,2,175.000 - 179.999
Erkek,İstanbul,Remote,250+,Back-end Developer,Senior,10 - 12 Yıl,Plsql,₺ - Türk Lirası,2,130.000 - 134.999
Erkek,Kocaeli,Ofis,6 - 10 Kişi,Front-end Developer,Junior,1 - 3 Yıl,JavaScript | Html | Css,₺ - Türk Lirası,1,19.000 - 19.999
Erkek,Tokat,Remote,6 - 10 Kişi,Full Stack Developer,Junior,1 - 3 Yıl,NodeJS;React,₺ - Türk Lirası,1,30.000 - 30.999
Erkek,Antalya,Remote,1 - 5 Kişi,Mobile Application Developer (iOS),Middle,1 - 3 Yıl,Swift,₺ - Türk Lirası,1,200.000+
Erkek,* Almanya,Remote,250+,Back-end Developer,Middle,5 - 7 Yıl,Java;Python,€ - Euro,2,4.000 - 4.999
Erkek,İstanbul,Ofis,250+,Data Analyst,Junior,1 - 3 Yıl,Python;Power bi dax sql,₺ - Türk Lirası,1,33.000 - 33.999
Erkek,* Hollanda,Hibrit (Ofis + Remote),250+,Back-end Developer,Senior,12 - 14 Yıl,Java,€ - Euro,1,4.000 - 4.999
Erkek,İzmir,Remote,250+,Full Stack Developer,Junior,1 - 3 Yıl,.Net,₺ - Türk Lirası,1,33.000 - 33.999
Erkek,Eskişehir,Remote,250+,Back-end Developer,Senior,7 - 10 Yıl,Java,₺ - Türk Lirası,2,115.000 - 119.999
Erkek,İstanbul,Remote,250+,Full Stack Developer,Junior,1 - 3 Yıl,.Net;JavaScript | Html | Css,₺ - Türk Lirası,2,31.000 - 31.999
Erkek,İstanbul,Remote,250+,Team / Tech Lead,Senior,7 - 10 Yıl,.Net;Go;React,₺ - Türk Lirası,2,120.000 - 124.999
Erkek,İstanbul,Hibrit (Ofis + Remote),6 - 10 Kişi,Full Stack Developer,Junior,0 - 1 Yıl,.Net;JavaScript | Html | Css,₺ - Türk Lirası,1,30.000 - 30.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Data Scientist,Middle,3 - 5 Yıl,Python,$ - Dolar,1,2.000 - 2.999
Erkek,İstanbul,Remote,21 - 50 Kişi,Back-end Developer,Senior,5 - 7 Yıl,Php,₺ - Türk Lirası,1,70.000 - 70.999
Erkek,Ankara,Remote,250+,Team / Tech Lead,Senior,5 - 7 Yıl,NodeJS,₺ - Türk Lirası,3,100.000 - 104.999
Erkek,İstanbul,Remote,11 - 20 Kişi,Full Stack Developer,Junior,1 - 3 Yıl,Java;JavaScript | Html | Css;Angular,₺ - Türk Lirası,2,40.000 - 40.999
Erkek,İzmir,Hibrit (Ofis + Remote),250+,Back-end Developer,Senior,7 - 10 Yıl,Java,₺ - Türk Lirası,2,120.000 - 124.999
Erkek,* Almanya,Remote,101 - 249 Kişi,Mobile Application Developer (iOS),Senior,5 - 7 Yıl,Swift,€ - Euro,1,4.000 - 4.999
Erkek,* Almanya,Remote,250+,Mobile Application Developer (Android),Senior,12 - 14 Yıl,Java;Kotlin;Swift,€ - Euro,1,5.000 - 5.999
Erkek,İstanbul,Remote,250+,Data Scientist,Senior,5 - 7 Yıl,Python,₺ - Türk Lirası,2,95.000 - 99.999
Erkek,İstanbul,Ofis,21 - 50 Kişi,Embedded Software Developer,Senior,3 - 5 Yıl,.Net;Python;C / C++,₺ - Türk Lirası,1,75.000 - 79.999
Erkek,İstanbul,Remote,101 - 249 Kişi,Mobile Application Developer (Full Stack),Middle,1 - 3 Yıl,Kotlin;Flutter,₺ - Türk Lirası,2,45.000 - 45.999
Erkek,İstanbul,Remote,101 - 249 Kişi,Back-end Developer,Senior,15 Yıl ve üzeri,.Net,$ - Dolar,1,5.000 - 5.999
Erkek,İstanbul,Hibrit (Ofis + Remote),21 - 50 Kişi,Back-end Developer,Middle,1 - 3 Yıl,NodeJS;React,₺ - Türk Lirası,2,50.000 - 50.999
Erkek,Yalova,Remote,11 - 20 Kişi,Mobile Application Developer (Full Stack),Senior,3 - 5 Yıl,React Native,₺ - Türk Lirası,2,69.000 - 69.999
Erkek,İstanbul,Remote,101 - 249 Kişi,Full Stack Developer,Middle,5 - 7 Yıl,Java;React;Angular,₺ - Türk Lirası,2,53.000 - 53.999
Erkek,Aydın,Ofis,1 - 5 Kişi,Full Stack Developer,Senior,15 Yıl ve üzeri,Php;NodeJS;JavaScript | Html | Css;Angular;ASP :D,₺ - Türk Lirası,1,22.000 - 22.999
Erkek,İstanbul,Remote,250+,Full Stack Developer,Middle,3 - 5 Yıl,.Net;React,₺ - Türk Lirası,2,80.000 - 84.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Full Stack Developer,Senior,7 - 10 Yıl,.Net;JavaScript | Html | Css;Vue,₺ - Türk Lirası,2,105.000 - 109.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Software Development Manager / Engineering Manager,Senior,10 - 12 Yıl,Java,₺ - Türk Lirası,2,190.000 - 194.999
