Cinsiyet,Şirketiniz hangi şehirde? (Eğer Türkiye ise),Çalışma şekliniz nedir?,Şirketinizin çalışan sayısı nedir?,Hangi pozisyonda çalışıyorsunuz?,Çalıştığınız şirketteki unvanınız nedir?,Deneyim,Ağırlıklı olarak hangi teknolojileri / dilleri kullanıyorsunuz?,Kazancınız hangi para biriminde?,Senede kaç kez zam alıyorsunuz?,"Maaş / Aylık Türk Lirası cinsinden          (Ortalama ""NET"" ücret)"
Erkek,34 İstanbul,Hybrid,151-300,Fullstack Developer / Engineer,Mid,3-5 Yıl,"ChatGPT
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Linux
PHP
Python
SQL",Türk Lirası,1,29.802 TL - 37.252 TL
Erkek,,Hybrid,1-10,Fullstack Developer / Engineer,Junior,1-3 Yıl,"Java ve bağlı framework'ler
SQL",Euro,1,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Hybrid,1.000-5.000,Software Architect,Senior,5-7 Yıl,C# / .NET Framework,Türk Lirası,2,105.103 TL - 127.552 TL
Kadın,,Remote,151-300,Fullstack Developer / Engineer,Senior,12 Yıl ve üzeri,"C# / .NET Framework
ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler",Sterlin,1,195.003 TL - 239.002 TL
Erkek,34 İstanbul,Ofiste,11-20,ABAP Consultant,Junior,0-1 Yıl,"ABAP
SAP",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,,Remote,,Mobile Developer(Cross Platform),Mid,1-3 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,26.803 TL - 29.801 TL
Erkek,34 İstanbul,Remote,151-300,Q/A - Test Automation Engineer,Mid,3-5 Yıl,"Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL",Türk Lirası,2,44.704 TL - 54.951 TL
Kadın,34 İstanbul,Remote,1.000-5.000,Software Engineer,Senior,7-9 Yıl,"C# / .NET Framework
DevOps araçları",Türk Lirası,3,105.103 TL - 127.552 TL
Erkek,,Remote,11-20,Backend Developer / Engineer,Junior,1-3 Yıl,Javascript / Typescript ve bağlı framework'ler,Dolar,1,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Remote,51-150,Backend Developer / Engineer,Senior,12 Yıl ve üzeri,"Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Golang
Javascript / Typescript ve bağlı framework'ler
Kubernetes
SQL",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,,Hybrid,10.000 ve üzeri,Fullstack Developer / Engineer,Mid,12 Yıl ve üzeri,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Linux
Python
SQL",Euro,1,150.003 TL - 195.002 TL
Erkek,34 İstanbul,Ofiste,601-1.000,Frontend Developer / Engineer,Mid,1-3 Yıl,"Javascript / Typescript ve bağlı framework'ler
PHP",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Remote,1.000-5.000,Software Engineer,Yeni mezun,1-3 Yıl,"C# / .NET Framework
DevOps araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,06 Ankara,Ofiste,21-50,Team Lead,Senior,9-12 Yıl,"C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
SQL",Türk Lirası,1,44.704 TL - 54.951 TL
Belirtmek İstemiyorum,34 İstanbul,Remote,51-150,Business Analyst,Mid,1-3 Yıl,,Dolar,2,44.704 TL - 54.951 TL
Erkek,,Hybrid,1.000-5.000,Mobile Developer(Cross Platform),Mid,1-3 Yıl,Flutter,Euro,1,82.653 TL - 105.102 TL
Erkek,,Hybrid,10.000 ve üzeri,Software Engineer,Junior,1-3 Yıl,"C# / .NET Framework
Docker / containerd / Hyper-V / LXC / Podman
SQL",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Remote,151-300,Backend Developer / Engineer,Senior,3-5 Yıl,Java ve bağlı framework'ler,Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Remote,51-150,Fullstack Developer / Engineer,Junior,1-3 Yıl,"C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Javascript / Typescript ve bağlı framework'ler
Microsoft Office Araçları
SQL",Türk Lirası,2,44.704 TL - 54.951 TL
Kadın,34 İstanbul,Remote,151-300,SecOps Engineer,Mid,1-3 Yıl,"Linux
Python",Türk Lirası,1,29.802 TL - 37.252 TL
Kadın,34 İstanbul,Remote,21-50,Android Developer,Junior,0-1 Yıl,Kotlin,Türk Lirası,1,26.803 TL - 29.801 TL
Erkek,34 İstanbul,Remote,51-150,Frontend Developer / Engineer,Senior,5-7 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,11-20,Fullstack Developer / Engineer,Junior,1-3 Yıl,"C# / .NET Framework
SQL",Türk Lirası,1,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Hybrid,10.000 ve üzeri,Business Analyst,Junior,1-3 Yıl,"Figma / XD ve diğer tasarım araçları
Flutter",Türk Lirası,1,29.802 TL - 37.252 TL
