gender,city,work_type,company_size,position,level,experience,currency,raise_period,salary
1,1,2,2,Fullstack Developer / Engineer,2,3,0,1,29.802 TL - 37.252 TL
1,0,2,1,Fullstack Developer / Engineer,1,2,0,1,44.704 TL - 54.951 TL
1,1,2,3,Software Architect,3,4,0,2,105.103 TL - 127.552 TL
0,0,3,2,Fullstack Developer / Engineer,3,8,0,1,195.003 TL - 239.002 TL
1,1,1,1,ABAP Consultant,1,1,0,2,29.802 TL - 37.252 TL
1,0,3,,Mobile Developer(Cross Platform),2,2,0,2,26.803 TL - 29.801 TL
1,1,3,2,Q/A - Test Automation Engineer,2,3,0,2,44.704 TL - 54.951 TL
0,1,3,3,Software Engineer,3,5,0,3,105.103 TL - 127.552 TL
1,0,3,1,Backend Developer / Engineer,1,2,0,1,37.253 TL - 44.703 TL
1,1,3,1,Backend Developer / Engineer,3,8,0,2,82.653 TL - 105.102 TL
1,0,2,4,Fullstack Developer / Engineer,2,8,0,1,150.003 TL - 195.002 TL
1,1,1,2,Frontend Developer / Engineer,2,2,0,2,44.704 TL - 54.951 TL
1,1,3,3,Software Engineer,1,2,0,2,44.704 TL - 54.951 TL
1,0,1,1,Team Lead,3,6,0,1,44.704 TL - 54.951 TL
2,1,3,1,Business Analyst,2,2,0,2,44.704 TL - 54.951 TL
1,0,2,3,Mobile Developer(Cross Platform),2,2,0,1,82.653 TL - 105.102 TL
1,0,2,4,Software Engineer,1,2,0,2,44.704 TL - 54.951 TL
1,1,3,2,Backend Developer / Engineer,3,3,0,2,82.653 TL - 105.102 TL
1,1,3,1,Fullstack Developer / Engineer,1,2,0,2,44.704 TL - 54.951 TL
0,1,3,2,SecOps Engineer,2,2,0,1,29.802 TL - 37.252 TL
0,1,3,1,Android Developer,1,1,0,1,26.803 TL - 29.801 TL
1,1,3,1,Frontend Developer / Engineer,3,4,0,2,54.952 TL - 67.202 TL
1,1,3,1,Fullstack Developer / Engineer,1,2,0,1,44.704 TL - 54.951 TL
1,1,2,4,Business Analyst,1,2,0,1,29.802 TL - 37.252 TL
1,1,1,1,Backend Developer / Engineer,1,2,0,2,29.802 TL - 37.252 TL
1,0,3,1,Fullstack Developer / Engineer,2,3,0,1,54.952 TL - 67.202 TL
1,1,1,4,Fullstack Developer / Engineer,2,2,0,1,37.253 TL - 44.703 TL
1,1,3,4,Database Administrator,3,3,0,2,82.653 TL - 105.102 TL
1,0,3,,ABAP Consultant,1,1,0,,17.002 TL - 22.451 TL
1,0,2,2,Team Lead,3,6,0,2,105.103 TL - 127.552 TL
1,0,2,1,Software Engineer,3,4,0,2,67.203 TL - 82.652 TL
1,1,3,3,Backend Developer / Engineer,2,3,0,1,44.704 TL - 54.951 TL
0,1,1,4,Data Scientist,1,1,0,2,26.803 TL - 29.801 TL
1,0,3,1,Backend Developer / Engineer,1,2,0,1,44.704 TL - 54.951 TL
1,1,3,1,Software Development Manager,Staff,8,0,2,150.003 TL - 195.002 TL
1,0,2,1,Team Lead,2,3,0,2,54.952 TL - 67.202 TL
0,1,2,2,Frontend Developer / Engineer,1,2,0,1,29.802 TL - 37.252 TL
1,0,3,3,Q/A - Test Automation Engineer,2,3,0,1,82.653 TL - 105.102 TL
1,1,1,3,Research Engineer,2,2,0,2,37.253 TL - 44.703 TL
1,1,3,,Backend Developer / Engineer,1,2,0,2,29.802 TL - 37.252 TL
0,0,3,2,iOS Developer,2,2,0,4 veya üzeri,82.653 TL - 105.102 TL
1,1,2,3,Frontend Developer / Engineer,3,3,0,2,37.253 TL - 44.703 TL
1,1,2,2,Fullstack Developer / Engineer,3,8,0,2,82.653 TL - 105.102 TL
1,0,2,1,Backend Developer / Engineer,2,2,0,1,54.952 TL - 67.202 TL
1,0,3,3,Backend Developer / Engineer,2,4,0,1,54.952 TL - 67.202 TL
1,1,3,1,Backend Developer / Engineer,3,4,0,1,67.203 TL - 82.652 TL
0,0,1,1,Business Analyst,1,1,0,1,22.452 TL - 26.802 TL
0,1,2,1,Fullstack Developer / Engineer,1,1,0,2,29.802 TL - 37.252 TL
1,0,3,1,Fullstack Developer / Engineer,1,2,0,1,22.452 TL - 26.802 TL
0,0,2,3,Integration Developer,1,1,0,2,22.452 TL - 26.802 TL
1,0,3,1,SAP Consultant,1,2,0,2,22.452 TL - 26.802 TL
1,1,3,2,UI/UX Designer,3,5,0,1,54.952 TL - 67.202 TL
1,1,3,2,DevOps,1,1,0,2,17.002 TL - 22.451 TL
1,0,3,3,Backend Developer / Engineer,2,3,0,2,54.952 TL - 67.202 TL
1,1,3,3,Fullstack Developer / Engineer,1,2,0,2,29.802 TL - 37.252 TL
1,0,2,1,AI - ML Developer / Engineer,1,1,0,1,195.003 TL - 239.002 TL
1,0,1,1,Tech Lead,Staff,8,0,2,82.653 TL - 105.102 TL
1,1,3,2,Frontend Developer / Engineer,3,4,0,2,82.653 TL - 105.102 TL
1,1,2,3,Backend Developer / Engineer,2,3,0,2,82.653 TL - 105.102 TL
1,0,2,3,Fullstack Developer / Engineer,3,8,0,2,82.653 TL - 105.102 TL
1,1,3,2,Backend Developer / Engineer,2,4,0,2,67.203 TL - 82.652 TL
1,1,3,2,Backend Developer / Engineer,2,4,0,2,67.203 TL - 82.652 TL
1,0,2,1,Frontend Developer / Engineer,1,2,0,2,29.802 TL - 37.252 TL
1,1,1,1,Team Lead,Staff,6,0,1,82.653 TL - 105.102 TL
1,1,1,3,IT Specialist,2,5,0,1,44.704 TL - 54.951 TL
1,1,2,1,Embedded Developer / Engineer,3,3,0,2,37.253 TL - 44.703 TL
1,1,3,1,Diğer,1,2,0,2,22.452 TL - 26.802 TL
1,1,3,1,Data Engineer,1,2,0,3,26.803 TL - 29.801 TL
1,0,1,3,Fullstack Developer / Engineer,3,5,0,2,54.952 TL - 67.202 TL
0,0,1,1,Fullstack Developer / Engineer,1,1,0,1,22.452 TL - 26.802 TL
1,1,3,1,Q/A - Test Automation Engineer,1,1,0,2,17.002 TL - 22.451 TL
1,0,1,2,Backend Developer / Engineer,1,2,0,2,37.253 TL - 44.703 TL
1,1,3,1,Backend Developer / Engineer,3,4,0,3,54.952 TL - 67.202 TL
1,0,3,1,CRM Developer,2,2,0,1,67.203 TL - 82.652 TL
1,0,1,1,Mobile Developer(Cross Platform),1,2,0,2,22.452 TL - 26.802 TL
1,1,2,1,Frontend Developer / Engineer,2,5,0,2,54.952 TL - 67.202 TL
1,0,2,1,Frontend Developer / Engineer,2,2,0,2,29.802 TL - 37.252 TL
1,1,3,3,Android Developer,1,2,0,2,29.802 TL - 37.252 TL
0,0,2,1,Embedded Developer / Engineer,2,3,0,2,44.704 TL - 54.951 TL
1,1,3,2,Android Developer,3,6,0,4 veya üzeri,105.103 TL - 127.552 TL
1,0,3,1,iOS Developer,1,1,0,2,22.452 TL - 26.802 TL
1,0,2,1,Fullstack Developer / Engineer,1,1,0,2,29.802 TL - 37.252 TL
1,0,3,1,Frontend Developer / Engineer,1,2,0,2,37.253 TL - 44.703 TL
0,1,2,2,Business Analyst,1,1,0,2,29.802 TL - 37.252 TL
1,0,2,4,Frontend Developer / Engineer,3,4,0,2,54.952 TL - 67.202 TL
