JobTitle,Location,TotalPay,Base,Bonus,Stock,YearsofExperience,DateSubmitted
SWEII,MountainViewCA,$202K,$148K,$22K,$32K,1-3years,Jan31 2024
SWEII,MountainViewCA,$207K,$143K,$30K,$34K,1-3years,Jan30 2024
SWEII,SunnyvaleCA,$177K,$142K,$10K,$25K,1-3years,Jan30 2024
SWEII,KirklandWA,$179K,$136K,$18K,$25K,1-3years,Jan28 2024
SWEII,SunnyvaleCA,$318K,$181K,$35K,$102K,4-6years,Jan26 2024
SWEII,IrvineCA,$197K,$132K,$15K,$50K,1-3years,Dec20 2023
SWEII,MountainViewCA,$250K,$165K,$24K,$61K,4-6years,Dec11 2023
SWEII,SunnyvaleCA,$233K,$178K,$25K,$30K,1-3years,Dec11 2023
SWEII,MountainViewCA,$194K,$143K,$17K,$34K,1-3years,Nov27 2023
SWEII,MountainViewCA,$301K,$162K,$30K,$109K,4-6years,Nov25 2023


